Home Team,Away Team,Home GM,Away GM,Id,Week,lr,Thread Name,State
Barrie Bag Chasers,Brampton Cows,520793839301296128,482963349433483264,1.1,1,1,1.1: Barrie Bag Chasers vs Brampton Cows,Pending
Vader Starkillers Central,Vader Inquisitors,503659339278581792,447252603072675843,1.2,1,1,1.2: Vader Starkillers Central vs Vader Inquisitors,Pending
Windy City Walruses,USHL Prospects,554530333459087401,1007481647878393906,1.3,1,1,1.3: Windy City Walruses vs USHL Prospects,Pending
Atlantic City Zootiez$,Battle Creek Kings,593566495762808842,231615312896720908,1.4,1,1,1.4: Atlantic City Zootiez$ vs Battle Creek Kings,Pending
Vader Revanites,Ottawa Valley Bass Slappers,1077419089535979681,334537409134067723,1.5,1,1,1.5: Vader Revanites vs Ottawa Valley Bass Slappers,Pending
Vader Saboteurs,Lakeshore Loons,222108122272104450,121683946818895872,1.6,1,1,1.6: Vader Saboteurs vs Lakeshore Loons,Pending
Barrie Bag Chasers,Vader Saboteurs,520793839301296128,222108122272104450,1.7,1,2,1.7: Barrie Bag Chasers vs Vader Saboteurs,Pending
Battle Creek Kings,Brampton Cows,231615312896720908,482963349433483264,1.8,1,2,1.8: Battle Creek Kings vs Brampton Cows,Pending
Lakeshore Loons,USHL Prospects,121683946818895872,1007481647878393906,1.9,1,2,1.9: Lakeshore Loons vs USHL Prospects,Pending
Vader Revanites,Vader Inquisitors,1077419089535979681,447252603072675843,1.10,1,2,1.10: Vader Revanites vs Vader Inquisitors,Pending
Vader Starkillers Central,Ottawa Valley Bass Slappers,503659339278581792,334537409134067723,1.11,1,2,1.11: Vader Starkillers Central vs Ottawa Valley Bass Slappers,Pending
Windy City Walruses,Atlantic City Zootiez$,554530333459087401,593566495762808842,1.12,1,2,1.12: Windy City Walruses vs Atlantic City Zootiez$,Pending
Brampton Cows,Windy City Walruses,482963349433483264,554530333459087401,1.13,1,3,1.13: Brampton Cows vs Windy City Walruses,Pending
USHL Prospects,Vader Starkillers Central,1007481647878393906,503659339278581792,1.14,1,3,1.14: USHL Prospects vs Vader Starkillers Central,Pending
Vader Inquisitors,Barrie Bag Chasers,447252603072675843,520793839301296128,1.15,1,3,1.15: Vader Inquisitors vs Barrie Bag Chasers,Pending
Battle Creek Kings,Vader Saboteurs,231615312896720908,222108122272104450,1.16,1,3,1.16: Battle Creek Kings vs Vader Saboteurs,Pending
Lakeshore Loons,Vader Revanites,121683946818895872,1077419089535979681,1.17,1,3,1.17: Lakeshore Loons vs Vader Revanites,Pending
Ottawa Valley Bass Slappers,Atlantic City Zootiez$,334537409134067723,593566495762808842,1.18,1,3,1.18: Ottawa Valley Bass Slappers vs Atlantic City Zootiez$,Pending
USHL Prospects,Brampton Cows,1007481647878393906,482963349433483264,2.1,2,4,2.1: USHL Prospects vs Brampton Cows,Pending
Vader Starkillers Central,Barrie Bag Chasers,503659339278581792,520793839301296128,2.2,2,4,2.2: Vader Starkillers Central vs Barrie Bag Chasers,Pending
Windy City Walruses,Vader Inquisitors,554530333459087401,447252603072675843,2.3,2,4,2.3: Windy City Walruses vs Vader Inquisitors,Pending
Lakeshore Loons,Battle Creek Kings,121683946818895872,231615312896720908,2.4,2,4,2.4: Lakeshore Loons vs Battle Creek Kings,Pending
Vader Revanites,Atlantic City Zootiez$,1077419089535979681,593566495762808842,2.5,2,4,2.5: Vader Revanites vs Atlantic City Zootiez$,Pending
Vader Saboteurs,Ottawa Valley Bass Slappers,222108122272104450,334537409134067723,2.6,2,4,2.6: Vader Saboteurs vs Ottawa Valley Bass Slappers,Pending
Barrie Bag Chasers,Ottawa Valley Bass Slappers,520793839301296128,334537409134067723,2.7,2,5,2.7: Barrie Bag Chasers vs Ottawa Valley Bass Slappers,Pending
Brampton Cows,Vader Revanites,482963349433483264,1077419089535979681,2.8,2,5,2.8: Brampton Cows vs Vader Revanites,Pending
USHL Prospects,Vader Saboteurs,1007481647878393906,222108122272104450,2.9,2,5,2.9: USHL Prospects vs Vader Saboteurs,Pending
Vader Inquisitors,Battle Creek Kings,447252603072675843,231615312896720908,2.10,2,5,2.10: Vader Inquisitors vs Battle Creek Kings,Pending
Vader Starkillers Central,Atlantic City Zootiez$,503659339278581792,593566495762808842,2.11,2,5,2.11: Vader Starkillers Central vs Atlantic City Zootiez$,Pending
Windy City Walruses,Lakeshore Loons,554530333459087401,121683946818895872,2.12,2,5,2.12: Windy City Walruses vs Lakeshore Loons,Pending
Barrie Bag Chasers,USHL Prospects,520793839301296128,1007481647878393906,2.13,2,6,2.13: Barrie Bag Chasers vs USHL Prospects,Pending
Vader Inquisitors,Brampton Cows,447252603072675843,482963349433483264,2.14,2,6,2.14: Vader Inquisitors vs Brampton Cows,Pending
Vader Starkillers Central,Windy City Walruses,503659339278581792,554530333459087401,2.15,2,6,2.15: Vader Starkillers Central vs Windy City Walruses,Pending
Atlantic City Zootiez$,Lakeshore Loons,593566495762808842,121683946818895872,2.16,2,6,2.16: Atlantic City Zootiez$ vs Lakeshore Loons,Pending
Ottawa Valley Bass Slappers,Battle Creek Kings,334537409134067723,231615312896720908,2.17,2,6,2.17: Ottawa Valley Bass Slappers vs Battle Creek Kings,Pending
Vader Revanites,Vader Saboteurs,1077419089535979681,222108122272104450,2.18,2,6,2.18: Vader Revanites vs Vader Saboteurs,Pending
Brampton Cows,Vader Starkillers Central,482963349433483264,503659339278581792,3.1,3,7,3.1: Brampton Cows vs Vader Starkillers Central,Pending
USHL Prospects,Vader Inquisitors,1007481647878393906,447252603072675843,3.2,3,7,3.2: USHL Prospects vs Vader Inquisitors,Pending
Windy City Walruses,Barrie Bag Chasers,554530333459087401,520793839301296128,3.3,3,7,3.3: Windy City Walruses vs Barrie Bag Chasers,Pending
Battle Creek Kings,Vader Revanites,231615312896720908,1077419089535979681,3.4,3,7,3.4: Battle Creek Kings vs Vader Revanites,Pending
Lakeshore Loons,Ottawa Valley Bass Slappers,121683946818895872,334537409134067723,3.5,3,7,3.5: Lakeshore Loons vs Ottawa Valley Bass Slappers,Pending
Vader Saboteurs,Atlantic City Zootiez$,222108122272104450,593566495762808842,3.6,3,7,3.6: Vader Saboteurs vs Atlantic City Zootiez$,Pending
Atlantic City Zootiez$,USHL Prospects,593566495762808842,1007481647878393906,3.7,3,8,3.7: Atlantic City Zootiez$ vs USHL Prospects,Pending
Barrie Bag Chasers,Vader Revanites,520793839301296128,1077419089535979681,3.8,3,8,3.8: Barrie Bag Chasers vs Vader Revanites,Pending
Lakeshore Loons,Vader Inquisitors,121683946818895872,447252603072675843,3.9,3,8,3.9: Lakeshore Loons vs Vader Inquisitors,Pending
Ottawa Valley Bass Slappers,Brampton Cows,334537409134067723,482963349433483264,3.10,3,8,3.10: Ottawa Valley Bass Slappers vs Brampton Cows,Pending
Vader Saboteurs,Vader Starkillers Central,222108122272104450,503659339278581792,3.11,3,8,3.11: Vader Saboteurs vs Vader Starkillers Central,Pending
Windy City Walruses,Battle Creek Kings,554530333459087401,231615312896720908,3.12,3,8,3.12: Windy City Walruses vs Battle Creek Kings,Pending
Atlantic City Zootiez$,Vader Inquisitors,593566495762808842,447252603072675843,3.13,3,9,3.13: Atlantic City Zootiez$ vs Vader Inquisitors,Pending
Barrie Bag Chasers,Lakeshore Loons,520793839301296128,121683946818895872,3.14,3,9,3.14: Barrie Bag Chasers vs Lakeshore Loons,Pending
Ottawa Valley Bass Slappers,Windy City Walruses,334537409134067723,554530333459087401,3.15,3,9,3.15: Ottawa Valley Bass Slappers vs Windy City Walruses,Pending
USHL Prospects,Battle Creek Kings,1007481647878393906,231615312896720908,3.16,3,9,3.16: USHL Prospects vs Battle Creek Kings,Pending
Vader Revanites,Vader Starkillers Central,1077419089535979681,503659339278581792,3.17,3,9,3.17: Vader Revanites vs Vader Starkillers Central,Pending
Vader Saboteurs,Brampton Cows,222108122272104450,482963349433483264,3.18,3,9,3.18: Vader Saboteurs vs Brampton Cows,Pending
Brampton Cows,Barrie Bag Chasers,482963349433483264,520793839301296128,4.1,4,10,4.1: Brampton Cows vs Barrie Bag Chasers,Pending
USHL Prospects,Windy City Walruses,1007481647878393906,554530333459087401,4.2,4,10,4.2: USHL Prospects vs Windy City Walruses,Pending
Vader Inquisitors,Vader Starkillers Central,447252603072675843,503659339278581792,4.3,4,10,4.3: Vader Inquisitors vs Vader Starkillers Central,Pending
Battle Creek Kings,Atlantic City Zootiez$,231615312896720908,593566495762808842,4.4,4,10,4.4: Battle Creek Kings vs Atlantic City Zootiez$,Pending
Lakeshore Loons,Vader Saboteurs,121683946818895872,222108122272104450,4.5,4,10,4.5: Lakeshore Loons vs Vader Saboteurs,Pending
Ottawa Valley Bass Slappers,Vader Revanites,334537409134067723,1077419089535979681,4.6,4,10,4.6: Ottawa Valley Bass Slappers vs Vader Revanites,Pending
Barrie Bag Chasers,Vader Inquisitors,520793839301296128,447252603072675843,4.7,4,11,4.7: Barrie Bag Chasers vs Vader Inquisitors,Pending
Vader Starkillers Central,USHL Prospects,503659339278581792,1007481647878393906,4.8,4,11,4.8: Vader Starkillers Central vs USHL Prospects,Pending
Windy City Walruses,Brampton Cows,554530333459087401,482963349433483264,4.9,4,11,4.9: Windy City Walruses vs Brampton Cows,Pending
Atlantic City Zootiez$,Ottawa Valley Bass Slappers,593566495762808842,334537409134067723,4.10,4,11,4.10: Atlantic City Zootiez$ vs Ottawa Valley Bass Slappers,Pending
Vader Revanites,Lakeshore Loons,1077419089535979681,121683946818895872,4.11,4,11,4.11: Vader Revanites vs Lakeshore Loons,Pending
Vader Saboteurs,Battle Creek Kings,222108122272104450,231615312896720908,4.12,4,11,4.12: Vader Saboteurs vs Battle Creek Kings,Pending
Atlantic City Zootiez$,Barrie Bag Chasers,593566495762808842,520793839301296128,4.13,4,12,4.13: Atlantic City Zootiez$ vs Barrie Bag Chasers,Pending
Battle Creek Kings,Vader Starkillers Central,231615312896720908,503659339278581792,4.14,4,12,4.14: Battle Creek Kings vs Vader Starkillers Central,Pending
Brampton Cows,Lakeshore Loons,482963349433483264,121683946818895872,4.15,4,12,4.15: Brampton Cows vs Lakeshore Loons,Pending
USHL Prospects,Ottawa Valley Bass Slappers,1007481647878393906,334537409134067723,4.16,4,12,4.16: USHL Prospects vs Ottawa Valley Bass Slappers,Pending
Vader Inquisitors,Vader Saboteurs,447252603072675843,222108122272104450,4.17,4,12,4.17: Vader Inquisitors vs Vader Saboteurs,Pending
Windy City Walruses,Vader Revanites,554530333459087401,1077419089535979681,4.18,4,12,4.18: Windy City Walruses vs Vader Revanites,Pending
Battle Creek Kings,Barrie Bag Chasers,231615312896720908,520793839301296128,5.1,5,13,5.1: Battle Creek Kings vs Barrie Bag Chasers,Pending
Brampton Cows,Atlantic City Zootiez$,482963349433483264,593566495762808842,5.2,5,13,5.2: Brampton Cows vs Atlantic City Zootiez$,Pending
Vader Inquisitors,Ottawa Valley Bass Slappers,447252603072675843,334537409134067723,5.3,5,13,5.3: Vader Inquisitors vs Ottawa Valley Bass Slappers,Pending
Vader Revanites,USHL Prospects,1077419089535979681,1007481647878393906,5.4,5,13,5.4: Vader Revanites vs USHL Prospects,Pending
Vader Saboteurs,Windy City Walruses,222108122272104450,554530333459087401,5.5,5,13,5.5: Vader Saboteurs vs Windy City Walruses,Pending
Vader Starkillers Central,Lakeshore Loons,503659339278581792,121683946818895872,5.6,5,13,5.6: Vader Starkillers Central vs Lakeshore Loons,Pending
Barrie Bag Chasers,Vader Starkillers Central,520793839301296128,503659339278581792,5.7,5,14,5.7: Barrie Bag Chasers vs Vader Starkillers Central,Pending
Brampton Cows,USHL Prospects,482963349433483264,1007481647878393906,5.8,5,14,5.8: Brampton Cows vs USHL Prospects,Pending
Vader Inquisitors,Windy City Walruses,447252603072675843,554530333459087401,5.9,5,14,5.9: Vader Inquisitors vs Windy City Walruses,Pending
Atlantic City Zootiez$,Vader Revanites,593566495762808842,1077419089535979681,5.10,5,14,5.10: Atlantic City Zootiez$ vs Vader Revanites,Pending
Battle Creek Kings,Lakeshore Loons,231615312896720908,121683946818895872,5.11,5,14,5.11: Battle Creek Kings vs Lakeshore Loons,Pending
Ottawa Valley Bass Slappers,Vader Saboteurs,334537409134067723,222108122272104450,5.12,5,14,5.12: Ottawa Valley Bass Slappers vs Vader Saboteurs,Pending
Brampton Cows,Vader Inquisitors,482963349433483264,447252603072675843,6.1,6,15,6.1: Brampton Cows vs Vader Inquisitors,Pending
USHL Prospects,Barrie Bag Chasers,1007481647878393906,520793839301296128,6.2,6,15,6.2: USHL Prospects vs Barrie Bag Chasers,Pending
Windy City Walruses,Vader Starkillers Central,554530333459087401,503659339278581792,6.3,6,15,6.3: Windy City Walruses vs Vader Starkillers Central,Pending
Battle Creek Kings,Ottawa Valley Bass Slappers,231615312896720908,334537409134067723,6.4,6,15,6.4: Battle Creek Kings vs Ottawa Valley Bass Slappers,Pending
Lakeshore Loons,Atlantic City Zootiez$,121683946818895872,593566495762808842,6.5,6,15,6.5: Lakeshore Loons vs Atlantic City Zootiez$,Pending
Vader Saboteurs,Vader Revanites,222108122272104450,1077419089535979681,6.6,6,15,6.6: Vader Saboteurs vs Vader Revanites,Pending
Barrie Bag Chasers,Windy City Walruses,520793839301296128,554530333459087401,6.7,6,16,6.7: Barrie Bag Chasers vs Windy City Walruses,Pending
Vader Inquisitors,USHL Prospects,447252603072675843,1007481647878393906,6.8,6,16,6.8: Vader Inquisitors vs USHL Prospects,Pending
Vader Starkillers Central,Brampton Cows,503659339278581792,482963349433483264,6.9,6,16,6.9: Vader Starkillers Central vs Brampton Cows,Pending
Atlantic City Zootiez$,Vader Saboteurs,593566495762808842,222108122272104450,6.10,6,16,6.10: Atlantic City Zootiez$ vs Vader Saboteurs,Pending
Ottawa Valley Bass Slappers,Lakeshore Loons,334537409134067723,121683946818895872,6.11,6,16,6.11: Ottawa Valley Bass Slappers vs Lakeshore Loons,Pending
Vader Revanites,Battle Creek Kings,1077419089535979681,231615312896720908,6.12,6,16,6.12: Vader Revanites vs Battle Creek Kings,Pending